COUNTRY,avg(PRICEEACH),avg(QUANTITYORDERED)
Sweden,86.72824561403509,35.19298245614035
Philippines,82.49961538461538,36.96153846153846
Singapore,83.3151898734177,34.936708860759495
Germany,83.61774193548388,34.645161290322584
France,82.55054140127389,35.318471337579616
Belgium,87.49424242424243,32.54545454545455
Finland,83.93641304347825,34.69565217391305
Italy,82.56106194690268,33.389380530973455
Norway,86.09623529411765,33.43529411764706
Spain,81.99573099415205,36.3421052631579
Denmark,87.36333333333334,34.87301587301587
Ireland,86.12375,30.625
USA,83.82435258964134,35.516932270916335
UK,82.51875000000003,34.8125
Switzerland,87.51903225806453,34.774193548387096
Canada,85.10071428571428,32.75714285714286
Japan,82.50500000000001,35.42307692307692
Australia,83.5088648648649,33.76216216216216
Austria,86.53018181818184,35.89090909090909
